55 33
主 10 27
墙 27 0
墙 27 1
墙 27 2
墙 27 3
墙 27 4
墙 27 5
墙 27 6
墙 27 7
墙 27 8
开 17 9 0
墙 27 9
墙 27 10
墙 27 11
墙 27 12
墙 27 13
墙 27 14
墙 27 15
墙 27 16
墙 27 17
洞 27 18
终 52 18
洞 27 19
开 36 19 2
洞 27 20
墙 0 21
墙 1 21
墙 2 21
墙 3 21
墙 4 21
墙 5 21
墙 6 21
墙 7 21
墙 8 21
墙 11 21
墙 12 21
墙 13 21
墙 14 21
墙 15 21
墙 16 21
墙 17 21
墙 18 21
墙 19 21
墙 20 21
墙 21 21
墙 22 21
墙 23 21
墙 24 21
墙 25 21
墙 26 21
墙 27 21
墙 28 21
墙 29 21
墙 30 21
墙 31 21
墙 32 21
墙 33 21
墙 34 21
墙 35 21
墙 36 21
墙 37 21
墙 38 21
墙 39 21
墙 40 21
墙 41 21
墙 42 21
墙 43 21
墙 44 21
门 45 21 2
门 46 21 2
门 47 21 2
墙 48 21
墙 49 21
墙 50 21
墙 51 21
墙 52 21
墙 53 21
墙 54 21
墙 27 22
墙 27 23
墙 27 24
墙 27 25
墙 27 26
墙 27 27
门 27 28 0
门 27 29 0
门 27 30 0
门 27 31 0
地 0 32
地 1 32
地 2 32
地 3 32
地 4 32
地 5 32
地 6 32
地 7 32
地 8 32
地 9 32
地 10 32
地 11 32
地 12 32
地 13 32
地 14 32
地 15 32
地 16 32
地 17 32
地 18 32
地 19 32
地 20 32
地 21 32
地 22 32
地 23 32
地 24 32
地 25 32
地 26 32
地 27 32
地 28 32
地 29 32
地 30 32
地 31 32
地 32 32
地 33 32
地 34 32
地 35 32
地 36 32
地 37 32
地 38 32
地 39 32
地 40 32
地 41 32
地 42 32
地 43 32
地 44 32
地 45 32
地 46 32
地 47 32
地 48 32
地 49 32
地 50 32
地 51 32
地 52 32
地 53 32
地 54 32
